hyperparameters,mean_macro_f1,mean_deceased_f1,mean_overall_accuracy
"{'colsample_bytree': 0.7575757575757576, 'gamma': 0.09292929292929293, 'learning_rate': 0.08535353535353536, 'max_depth': 4, 'n_estimators': 171, 'subsample': 0.8818181818181818}", 0.86, 0.79, 0.86
"{'colsample_bytree': 0.601010101010101, 'gamma': 0.08282828282828283, 'learning_rate': 0.26717171717171717, 'max_depth': 4, 'n_estimators': 187, 'subsample': 1.0}", 0.89, 0.84, 0.90
"{'colsample_bytree': 0.6161616161616161, 'gamma': 0.00202020202020202, 'learning_rate': 0.10303030303030303, 'max_depth': 6, 'n_estimators': 357, 'subsample': 0.9636363636363636}", 0.93, 0.89, 0.93
"{'colsample_bytree': 0.6464646464646464, 'gamma': 0.03737373737373737, 'learning_rate': 0.05252525252525253, 'max_depth': 9, 'n_estimators': 376, 'subsample': 0.7969696969696969}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.8787878787878789, 'gamma': 0.05757575757575758, 'learning_rate': 0.10303030303030303, 'max_depth': 6, 'n_estimators': 335, 'subsample': 0.9666666666666667}", 0.93, 0.90, 0.93
"{'colsample_bytree': 0.7424242424242424, 'gamma': 0.09090909090909091, 'learning_rate': 0.19646464646464645, 'max_depth': 8, 'n_estimators': 269, 'subsample': 0.9757575757575758}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.797979797979798, 'gamma': 0.0797979797979798, 'learning_rate': 0.08535353535353536, 'max_depth': 7, 'n_estimators': 274, 'subsample': 0.8848484848484848}", 0.93, 0.90, 0.94
"{'colsample_bytree': 0.7525252525252526, 'gamma': 0.05454545454545454, 'learning_rate': 0.2090909090909091, 'max_depth': 2, 'n_estimators': 230, 'subsample': 0.8515151515151516}", 0.84, 0.76, 0.84
"{'colsample_bytree': 0.5303030303030303, 'gamma': 0.0202020202020202, 'learning_rate': 0.2318181818181818, 'max_depth': 8, 'n_estimators': 373, 'subsample': 0.709090909090909}", 0.95, 0.92, 0.95
"{'colsample_bytree': 0.9444444444444444, 'gamma': 0.0595959595959596, 'learning_rate': 0.08282828282828283, 'max_depth': 3, 'n_estimators': 364, 'subsample': 0.9696969696969697}", 0.86, 0.79, 0.86
"{'colsample_bytree': 0.7626262626262627, 'gamma': 0.00101010101010101, 'learning_rate': 0.2595959595959596, 'max_depth': 5, 'n_estimators': 466, 'subsample': 0.8787878787878788}", 0.95, 0.92, 0.95
"{'colsample_bytree': 0.8535353535353536, 'gamma': 0.043434343434343436, 'learning_rate': 0.06767676767676768, 'max_depth': 8, 'n_estimators': 134, 'subsample': 0.9333333333333333}", 0.92, 0.88, 0.92
"{'colsample_bytree': 0.9040404040404041, 'gamma': 0.03535353535353535, 'learning_rate': 0.17373737373737375, 'max_depth': 9, 'n_estimators': 487, 'subsample': 0.703030303030303}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.5252525252525253, 'gamma': 0.05353535353535353, 'learning_rate': 0.05757575757575758, 'max_depth': 7, 'n_estimators': 290, 'subsample': 0.7515151515151515}", 0.91, 0.87, 0.92
"{'colsample_bytree': 0.9494949494949496, 'gamma': 0.043434343434343436, 'learning_rate': 0.13333333333333336, 'max_depth': 3, 'n_estimators': 369, 'subsample': 0.9848484848484849}", 0.87, 0.81, 0.87
"{'colsample_bytree': 0.7373737373737375, 'gamma': 0.014141414141414142, 'learning_rate': 0.22929292929292933, 'max_depth': 7, 'n_estimators': 314, 'subsample': 0.8848484848484848}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.696969696969697, 'gamma': 0.08484848484848485, 'learning_rate': 0.2494949494949495, 'max_depth': 6, 'n_estimators': 437, 'subsample': 0.8575757575757575}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.6161616161616161, 'gamma': 0.025252525252525252, 'learning_rate': 0.27222222222222225, 'max_depth': 5, 'n_estimators': 287, 'subsample': 0.8212121212121212}", 0.93, 0.89, 0.93
"{'colsample_bytree': 0.6414141414141414, 'gamma': 0.014141414141414142, 'learning_rate': 0.16111111111111112, 'max_depth': 2, 'n_estimators': 444, 'subsample': 0.9121212121212121}", 0.85, 0.77, 0.85
"{'colsample_bytree': 0.5404040404040404, 'gamma': 0.08787878787878788, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 235, 'subsample': 0.9636363636363636}", 0.86, 0.80, 0.86
"{'colsample_bytree': 0.8131313131313131, 'gamma': 0.0101010101010101, 'learning_rate': 0.25202020202020203, 'max_depth': 9, 'n_estimators': 262, 'subsample': 0.803030303030303}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.6616161616161617, 'gamma': 0.00404040404040404, 'learning_rate': 0.15101010101010104, 'max_depth': 5, 'n_estimators': 234, 'subsample': 0.9181818181818182}", 0.91, 0.87, 0.91
"{'colsample_bytree': 0.8585858585858586, 'gamma': 0.011111111111111112, 'learning_rate': 0.13333333333333336, 'max_depth': 2, 'n_estimators': 147, 'subsample': 0.7666666666666666}", 0.82, 0.74, 0.82
"{'colsample_bytree': 0.8080808080808082, 'gamma': 0.08787878787878788, 'learning_rate': 0.14090909090909093, 'max_depth': 4, 'n_estimators': 271, 'subsample': 0.9575757575757575}", 0.89, 0.84, 0.89
"{'colsample_bytree': 0.9545454545454546, 'gamma': 0.03434343434343434, 'learning_rate': 0.21161616161616165, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8393939393939394}", 0.90, 0.85, 0.90
"{'colsample_bytree': 0.8888888888888888, 'gamma': 0.00202020202020202, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 317, 'subsample': 0.7393939393939394}", 0.91, 0.86, 0.91
"{'colsample_bytree': 0.6313131313131313, 'gamma': 0.00808080808080808, 'learning_rate': 0.246969696969697, 'max_depth': 8, 'n_estimators': 445, 'subsample': 0.8242424242424242}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.8838383838383839, 'gamma': 0.050505050505050504, 'learning_rate': 0.20656565656565656, 'max_depth': 9, 'n_estimators': 330, 'subsample': 0.8545454545454545}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.9797979797979799, 'gamma': 0.0030303030303030303, 'learning_rate': 0.28484848484848485, 'max_depth': 6, 'n_estimators': 330, 'subsample': 0.7424242424242424}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.7121212121212122, 'gamma': 0.028282828282828285, 'learning_rate': 0.1383838383838384, 'max_depth': 6, 'n_estimators': 259, 'subsample': 0.9121212121212121}", 0.93, 0.89, 0.93
"{'colsample_bytree': 0.7929292929292929, 'gamma': 0.08585858585858586, 'learning_rate': 0.1181818181818182, 'max_depth': 3, 'n_estimators': 269, 'subsample': 0.8333333333333333}", 0.86, 0.79, 0.86
"{'colsample_bytree': 0.8080808080808082, 'gamma': 0.05656565656565657, 'learning_rate': 0.06262626262626263, 'max_depth': 5, 'n_estimators': 127, 'subsample': 0.8303030303030303}", 0.86, 0.79, 0.86
"{'colsample_bytree': 0.9191919191919192, 'gamma': 0.029292929292929294, 'learning_rate': 0.20404040404040408, 'max_depth': 4, 'n_estimators': 227, 'subsample': 0.9757575757575758}", 0.90, 0.85, 0.90
"{'colsample_bytree': 0.9444444444444444, 'gamma': 0.06161616161616162, 'learning_rate': 0.2924242424242424, 'max_depth': 2, 'n_estimators': 476, 'subsample': 0.7787878787878788}", 0.86, 0.80, 0.87
"{'colsample_bytree': 0.8080808080808082, 'gamma': 0.07676767676767676, 'learning_rate': 0.05505050505050505, 'max_depth': 8, 'n_estimators': 297, 'subsample': 0.9151515151515152}", 0.94, 0.91, 0.94
"{'colsample_bytree': 0.6313131313131313, 'gamma': 0.00808080808080808, 'learning_rate': 0.20404040404040408, 'max_depth': 6, 'n_estimators': 324, 'subsample': 0.8515151515151516}", 0.94, 0.91, 0.94
"{'colsample_bytree': 0.7171717171717171, 'gamma': 0.023232323232323233, 'learning_rate': 0.246969696969697, 'max_depth': 4, 'n_estimators': 473, 'subsample': 0.793939393939394}", 0.92, 0.88, 0.92
"{'colsample_bytree': 0.9797979797979799, 'gamma': 0.08787878787878788, 'learning_rate': 0.17878787878787883, 'max_depth': 2, 'n_estimators': 417, 'subsample': 0.8727272727272727}", 0.85, 0.78, 0.85
"{'colsample_bytree': 0.7575757575757576, 'gamma': 0.011111111111111112, 'learning_rate': 0.14595959595959596, 'max_depth': 3, 'n_estimators': 486, 'subsample': 0.8666666666666667}", 0.88, 0.83, 0.88
"{'colsample_bytree': 0.9040404040404041, 'gamma': 0.05858585858585859, 'learning_rate': 0.05252525252525253, 'max_depth': 3, 'n_estimators': 319, 'subsample': 0.8606060606060606}", 0.84, 0.77, 0.84
"{'colsample_bytree': 0.9343434343434344, 'gamma': 0.09595959595959595, 'learning_rate': 0.2924242424242424, 'max_depth': 2, 'n_estimators': 225, 'subsample': 0.703030303030303}", 0.85, 0.77, 0.85
"{'colsample_bytree': 0.7626262626262627, 'gamma': 0.043434343434343436, 'learning_rate': 0.2747474747474748, 'max_depth': 9, 'n_estimators': 297, 'subsample': 0.793939393939394}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.8383838383838385, 'gamma': 0.05454545454545454, 'learning_rate': 0.2368686868686869, 'max_depth': 9, 'n_estimators': 222, 'subsample': 0.7484848484848484}", 0.95, 0.93, 0.95
"{'colsample_bytree': 0.6868686868686869, 'gamma': 0.023232323232323233, 'learning_rate': 0.22171717171717176, 'max_depth': 5, 'n_estimators': 197, 'subsample': 0.9090909090909091}", 0.92, 0.88, 0.92
"{'colsample_bytree': 0.9292929292929293, 'gamma': 0.0101010101010101, 'learning_rate': 0.08787878787878789, 'max_depth': 2, 'n_estimators': 300, 'subsample': 0.8757575757575757}", 0.83, 0.74, 0.83
"{'colsample_bytree': 0.8484848484848485, 'gamma': 0.0797979797979798, 'learning_rate': 0.28232323232323236, 'max_depth': 4, 'n_estimators': 247, 'subsample': 0.8757575757575757}", 0.91, 0.87, 0.91
"{'colsample_bytree': 0.6767676767676768, 'gamma': 0.01818181818181818, 'learning_rate': 0.2747474747474748, 'max_depth': 4, 'n_estimators': 246, 'subsample': 0.7575757575757576}", 0.91, 0.86, 0.91
"{'colsample_bytree': 0.9797979797979799, 'gamma': 0.0707070707070707, 'learning_rate': 0.17878787878787883, 'max_depth': 2, 'n_estimators': 227, 'subsample': 0.8151515151515152}", 0.84, 0.76, 0.84
"{'colsample_bytree': 0.9090909090909092, 'gamma': 0.0, 'learning_rate': 0.07525252525252527, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.7909090909090909}", 0.90, 0.85, 0.90
"{'colsample_bytree': 0.9696969696969697, 'gamma': 0.04141414141414142, 'learning_rate': 0.2974747474747475, 'max_depth': 8, 'n_estimators': 351, 'subsample': 0.7454545454545454}", 0.95, 0.93, 0.95
